total,ja,en,url
3.67,鮨 佐竹 大門・浜松町,sushisatake,https://tabelog.com/tw/tokyo/A1314/A131401/13207592/
3.67,フィッツ ギンザ,Fits GINZA,https://tabelog.com/tw/tokyo/A1301/A130101/13225250/
3.67,鮨わたなべ,Sushiwatanabe,https://tabelog.com/tw/tokyo/A1309/A130903/13170589/
3.67,銀座 古郁,Ginzakoiku,https://tabelog.com/tw/tokyo/A1301/A130101/13166569/
3.67,Nomka,Nomka,https://tabelog.com/tw/tokyo/A1323/A132305/13179510/
3.67,マーゴ,margo,https://tabelog.com/tw/tokyo/A1317/A131701/13005150/
3.67,金多楼,Kintarou,https://tabelog.com/tw/tokyo/A1317/A131705/13013756/
3.66,ラーメン二郎 三田本店,Ramenjirou,https://tabelog.com/tw/tokyo/A1314/A131402/13006051/
3.66,カレーハウス チリチリ,Curry House TIRI TIRI  ,https://tabelog.com/tw/tokyo/A1303/A130301/13002119/
3.66,ザ・テラス,THE TERRACE,https://tabelog.com/tw/tokyo/A1303/A130302/13004488/
3.66,ポンチ軒,Ponchiken,https://tabelog.com/tw/tokyo/A1310/A131002/13141456/
3.66,うさぎや 本店,Usagiya,https://tabelog.com/tw/tokyo/A1302/A130202/13003250/
3.66,エーエス クラシックス ダイナー KOMAZAWA,AS CLASSICS DINER,https://tabelog.com/tw/tokyo/A1317/A131707/13022762/
3.66,東白庵かりべ,Touhakuankaribe,https://tabelog.com/tw/tokyo/A1309/A130905/13131622/
3.66,フルーツカフェ　フルータス,Furutsukafefurutasu,https://tabelog.com/tw/tokyo/A1313/A131303/13056677/
3.66,鳥よし 中目黒店,Toriyoshi,https://tabelog.com/tw/tokyo/A1317/A131701/13003200/
3.66,遠藤利三郎商店,Endourisaburoushouten,https://tabelog.com/tw/tokyo/A1312/A131203/13093602/
3.66,RAMEN GOTTSU,ra-mengottsu,https://tabelog.com/tw/tokyo/A1321/A132102/13153294/
3.66,板前心 菊うら,Itamaegokorokikuura,https://tabelog.com/tw/tokyo/A1304/A130401/13004355/
3.66,七條,Shichijou,https://tabelog.com/tw/tokyo/A1310/A131002/13152996/
3.66,ベッラ・ナポリ,BELLA NAPOLI,https://tabelog.com/tw/tokyo/A1312/A131201/13005043/
3.66,山葵,Wasabi,https://tabelog.com/tw/tokyo/A1302/A130204/13008075/
3.66,めだかタンタン,Medakatantan,https://tabelog.com/tw/tokyo/A1329/A132902/13172508/
3.66,KEISUKE MATSUSHIMA,Keisukematsushima,https://tabelog.com/tw/tokyo/A1306/A130601/13091871/
3.66,丸千葉,Maruchiba,https://tabelog.com/tw/tokyo/A1324/A132401/13050828/
3.66,銀座 鮨青木 銀座本店,ginzasushiaoki,https://tabelog.com/tw/tokyo/A1301/A130101/13000563/
3.66,手打うどん長谷川,Teuchiudonhasegawa,https://tabelog.com/tw/tokyo/A1321/A132103/13105083/
3.66,超純水採麺 天国屋,choujunsuisaimentengokuya,https://tabelog.com/tw/tokyo/A1327/A132701/13162732/
3.66,カネキッチン ヌードル,KaneKitchen Noodles,https://tabelog.com/tw/tokyo/A1321/A132101/13203355/
3.66,クオーレ・フォルテ,Cuore forte,https://tabelog.com/tw/tokyo/A1318/A131802/13118674/
3.66,赤ちょうちん,Akachouchin,https://tabelog.com/tw/tokyo/A1304/A130402/13000919/
3.66,木挽町 湯津上屋,Kobikichouyudukamiya,https://tabelog.com/tw/tokyo/A1313/A131301/13019153/
3.66,はし本,Hashimoto,https://tabelog.com/tw/tokyo/A1309/A130905/13018616/
3.66,游玄亭 銀座並木通り店,Yuugentei,https://tabelog.com/tw/tokyo/A1301/A130101/13030773/
3.66,ミュージアム 1999 ロアラブッシュ,Museum 1999 Leau a la bouche,https://tabelog.com/tw/tokyo/A1306/A130602/13002113/
3.66,エリックサウス 東京ガーデンテラス店,erikkusausu,https://tabelog.com/tw/tokyo/A1308/A130801/13195343/
3.66,RAMEN　にじゅうぶんのいち,Ramennijuubunnoichi,https://tabelog.com/tw/tokyo/A1324/A132401/13147594/
3.66,ニコラ,Nicolas,https://tabelog.com/tw/tokyo/A1317/A131706/13127430/
3.66,入船寿司,Irifunezushi,https://tabelog.com/tw/tokyo/A1317/A131711/13003244/
3.66,いなかむら,Inakamura,https://tabelog.com/tw/tokyo/A1312/A131204/13120179/
3.66,美の,Yoshino,https://tabelog.com/tw/tokyo/A1301/A130103/13034313/
3.66,またぎ,Matagi,https://tabelog.com/tw/tokyo/A1307/A130701/13042734/
3.66,ラトリエ モトゾー,L'atelier MOTOZO,https://tabelog.com/tw/tokyo/A1317/A131705/13199223/
3.66,ブランジュリー パリの空の下,buranjuri-parinosoranoshita,https://tabelog.com/tw/tokyo/A1317/A131709/13100024/
3.66,Ostu,Osuto,https://tabelog.com/tw/tokyo/A1318/A131810/13044972/
3.66,もつ焼き じんちゃん,Motsuyakijinchan,https://tabelog.com/tw/tokyo/A1310/A131004/13114147/
3.66,鳥善 瀬尾,orizenseo,https://tabelog.com/tw/tokyo/A1307/A130702/13005034/
3.66,千寿 竹やぶ,Senjutakeyabu,https://tabelog.com/tw/tokyo/A1324/A132402/13003773/
3.66,宇奈根 山中,Unaneyamanaka,https://tabelog.com/tw/tokyo/A1318/A131814/13042357/
3.66,日本橋イタダキ,nihombashiitadaki,https://tabelog.com/tw/tokyo/A1302/A130204/13022343/
3.66,ケイブ バー,CAVE BAR,https://tabelog.com/tw/tokyo/A1305/A130503/13001030/
3.66,チリムーロ,Chirimulo,https://tabelog.com/tw/tokyo/A1303/A130301/13164533/
3.66,手繰りや 玄治,Taguriyagenji,https://tabelog.com/tw/tokyo/A1328/A132806/13047436/
3.66,銀座寿司幸本店,Ginzasushikouhonten,https://tabelog.com/tw/tokyo/A1301/A130101/13002573/
3.66,め乃惣,Menosou,https://tabelog.com/tw/tokyo/A1309/A130905/13011420/
3.66,なんどり,Nandori,https://tabelog.com/tw/tokyo/A1323/A132303/13151371/
3.66,素揚げや 小岩店,Suageya,https://tabelog.com/tw/tokyo/A1312/A131204/13155708/
3.66,銀座 串かつ凡,ginzakushikatsubon,https://tabelog.com/tw/tokyo/A1301/A130103/13170716/
3.66,御膳房 Garden,Gozembougaden,https://tabelog.com/tw/tokyo/A1301/A130101/13193394/
3.66,グランファミーユ・シェ松尾 成城コルティ店,GRAND-FAMILLE CHEZ MATSUO,https://tabelog.com/tw/tokyo/A1318/A131814/13025575/
3.66,芝濱,ginza shibahama,https://tabelog.com/tw/tokyo/A1301/A130103/13153265/
3.66,Amets,Amettsu,https://tabelog.com/tw/tokyo/A1311/A131102/13111446/
3.66,カトリカ,Katorika,https://tabelog.com/tw/tokyo/A1312/A131203/13040601/
3.66,鮨桂太,sushikeita,https://tabelog.com/tw/tokyo/A1313/A131301/13213360/
3.66,An Di,An Di,https://tabelog.com/tw/tokyo/A1306/A130603/13209346/
3.66,鮨　かねさか パレスホテル東京店,Sushikanesaka,https://tabelog.com/tw/tokyo/A1302/A130201/13141133/
3.66,銀座かつかみ,Ginzakatsukami,https://tabelog.com/tw/tokyo/A1301/A130101/13225476/
3.66,ブリボン,Bribon ,https://tabelog.com/tw/tokyo/A1305/A130502/13182918/
3.66,とり口,Toriguchi,https://tabelog.com/tw/tokyo/A1316/A131603/13219515/
3.66,モダン和食 サル ドゥ マキノ,salle de Makino,https://tabelog.com/tw/tokyo/A1307/A130701/13161511/
3.66,和田倉,Wadakura,https://tabelog.com/tw/tokyo/A1302/A130201/13010982/
3.66,西麻布 鮨葵,Nishiazabusushiaoi,https://tabelog.com/tw/tokyo/A1307/A130703/13199259/
3.66,レストラン・セン,Restaurant Sen,https://tabelog.com/tw/tokyo/A1309/A130904/13117224/
3.66,青山浅田,aoyamaasada,https://tabelog.com/tw/tokyo/A1306/A130603/13004397/
3.66,サジヤ,SAjiYA,https://tabelog.com/tw/tokyo/A1303/A130301/13124422/
3.66,こまつ,Komatsu,https://tabelog.com/tw/tokyo/A1302/A130203/13170814/
3.66,すっぽん料理 田吾作,Supponryouritagosaku,https://tabelog.com/tw/tokyo/A1318/A131801/13039237/
3.66,銀座一期,Ginzaichigo,https://tabelog.com/tw/tokyo/A1301/A130102/13160122/
3.66,サンパ,SYMPA,https://tabelog.com/tw/tokyo/A1319/A131906/13090634/
3.66,重よし,Shigeyoshi,https://tabelog.com/tw/tokyo/A1306/A130601/13001153/
3.66,鮨 天海,Sushiamami,https://tabelog.com/tw/tokyo/A1305/A130501/13225374/
3.66,ロウホウトイ,Rouhoutoi,https://tabelog.com/tw/tokyo/A1307/A130703/13203446/
3.66,割烹 山路,Kappouyamaji,https://tabelog.com/tw/tokyo/A1301/A130103/13195108/
3.66,calme,Calme,https://tabelog.com/tw/tokyo/A1317/A131705/13197166/
3.66,バー保志 モンス レックス,Bahoshimonsurekkusu,https://tabelog.com/tw/tokyo/A1301/A130103/13132353/
3.66,クリマ ディ トスカーナ,Kurimadhitosukana,https://tabelog.com/tw/tokyo/A1310/A131004/13215781/
3.66,由庵 矢もり,yuanyamori,https://tabelog.com/tw/tokyo/A1313/A131302/13176466/
3.66,けやき坂 わさ,Keyakisakawasa,https://tabelog.com/tw/tokyo/A1307/A130701/13217326/
3.66,ファイヤーホール4000 麻布十番店,Faiyahoruyonsen,https://tabelog.com/tw/tokyo/A1307/A130702/13220650/
3.66,茂松,Shigematsu,https://tabelog.com/tw/tokyo/A1301/A130101/13200102/
3.66,酒庵 きん助,shuankinsuke,https://tabelog.com/tw/tokyo/A1309/A130905/13063842/
3.66,銀屋,Ginya,https://tabelog.com/tw/tokyo/A1316/A131602/13153190/
3.66,江戸前 鮨 服部,edomaesushihattori,https://tabelog.com/tw/tokyo/A1307/A130701/13098338/
3.66,鮨きむら,Sushikimura,https://tabelog.com/tw/tokyo/A1302/A130204/13218866/
3.66,神戸牛割烹 銀座 美作,koubeushikappouginzamimasaka,https://tabelog.com/tw/tokyo/A1301/A130101/13228976/
3.66,和食　ひまわり,Washokuhimawari,https://tabelog.com/tw/tokyo/A1301/A130103/13114242/
3.66,あらいかわ,Araikawa,https://tabelog.com/tw/tokyo/A1307/A130702/13218481/
3.66,バーホシ イーリス,Bahoshiirisu,https://tabelog.com/tw/tokyo/A1301/A130101/13200352/
3.65,ピッツエリア エ トラットリア ダ イーサ,Pizzeria e trattoria da ISA,https://tabelog.com/tw/tokyo/A1317/A131701/13103245/
3.65,並木藪蕎麦,Namikiyabusoba,https://tabelog.com/tw/tokyo/A1311/A131102/13003650/
3.65,駒形どぜう 本店,Komagatadojou,https://tabelog.com/tw/tokyo/A1311/A131102/13003684/
3.65,パンのペリカン,Pelican,https://tabelog.com/tw/tokyo/A1311/A131102/13003662/
3.65,VIRON,viron,https://tabelog.com/tw/tokyo/A1302/A130201/13043904/
3.65,ラミティエ,Ramithie,https://tabelog.com/tw/tokyo/A1305/A130503/13004131/
3.65,ベーカーバウンス,Bekabaunsu,https://tabelog.com/tw/tokyo/A1317/A131706/13004780/
3.65,根津 釜竹,nedukamachiku,https://tabelog.com/tw/tokyo/A1311/A131106/13020252/
3.65,伊勢廣 京橋本店,Isehiro,https://tabelog.com/tw/tokyo/A1302/A130202/13000541/
3.65,ショコラティエ イナムラショウゾウ,Shokorathieinamurashouzou,https://tabelog.com/tw/tokyo/A1311/A131105/13047298/
3.65,本とさや,Hontosaya,https://tabelog.com/tw/tokyo/A1311/A131102/13003711/
3.65,ダルマサーガラ,Dharmasagara,https://tabelog.com/tw/tokyo/A1301/A130101/13002374/
3.65,カレーの店 プーさん,kare-nomisepu-san,https://tabelog.com/tw/tokyo/A1325/A132501/13005962/
3.65,クルミドコーヒー,KURUMED COFFEE,https://tabelog.com/tw/tokyo/A1325/A132502/13056474/
3.65,ラ ブティック ドゥ ジョエル・ロブション 恵比寿ガーデンプレイス店,LA BOUTIQUE de Joel Robushon,https://tabelog.com/tw/tokyo/A1303/A130302/13014064/
3.65,麺処 篠はら,Mendokoroshinohara,https://tabelog.com/tw/tokyo/A1322/A132202/13188419/
3.65,庭つ鶏,Niwatsudori,https://tabelog.com/tw/tokyo/A1316/A131603/13020732/
3.65,パルテノペ 広尾店,Parutenope,https://tabelog.com/tw/tokyo/A1307/A130703/13005525/
3.65,ナポリスタカ 神谷町店,"Pizzeria da peppe NAPOLI STA'CA""",https://tabelog.com/tw/tokyo/A1307/A130704/13132020/
3.65,シグネチャー,SIGNATURE,https://tabelog.com/tw/tokyo/A1302/A130202/13020360/
3.65,フレデリック カッセル 銀座三越,Furederikkukasseru,https://tabelog.com/tw/tokyo/A1301/A130101/13116839/
3.65,キノシタ,Kinoshita,https://tabelog.com/tw/tokyo/A1318/A131810/13001058/
